Scene,Sampler,Integrator,Execution Time (ns)
bmw-m6,halton,bdpt,617520
bmw-m6,halton,lightpath,596770
bmw-m6,halton,path,617710
bmw-m6,halton,randomwalk,582230
bmw-m6,halton,simplepath,868550
bmw-m6,halton,simplevolpath,627159
bmw-m6,halton,volpath,823310
bmw-m6,independent,bdpt,811540
bmw-m6,independent,lightpath,710649
bmw-m6,independent,path,582848
bmw-m6,independent,randomwalk,589890
bmw-m6,independent,simplepath,562120
bmw-m6,independent,simplevolpath,604130
bmw-m6,independent,volpath,958339
bmw-m6,paddedsobol,bdpt,606340
bmw-m6,paddedsobol,lightpath,568189
bmw-m6,paddedsobol,path,615820
bmw-m6,paddedsobol,randomwalk,579160
bmw-m6,paddedsobol,simplepath,625909
bmw-m6,paddedsobol,simplevolpath,832500
bmw-m6,paddedsobol,volpath,623869
bmw-m6,sobol,bdpt,599020
bmw-m6,sobol,lightpath,816350
bmw-m6,sobol,path,769539
bmw-m6,sobol,randomwalk,700640
bmw-m6,sobol,simplepath,592330
bmw-m6,sobol,simplevolpath,829980
bmw-m6,sobol,volpath,801350
bmw-m6,stratified,bdpt,578870
bmw-m6,stratified,lightpath,586469
bmw-m6,stratified,path,581199
bmw-m6,stratified,randomwalk,580900
bmw-m6,stratified,simplepath,576490
bmw-m6,stratified,simplevolpath,634450
bmw-m6,stratified,volpath,778970
bmw-m6,zsobol,bdpt,586620
bmw-m6,zsobol,lightpath,603150
bmw-m6,zsobol,path,592670
bmw-m6,zsobol,randomwalk,610010
bmw-m6,zsobol,simplepath,561400
bmw-m6,zsobol,simplevolpath,602359
bmw-m6,zsobol,volpath,590290
sportscar-area-lights,halton,bdpt,646019
sportscar-area-lights,halton,lightpath,586189
sportscar-area-lights,halton,path,577200
sportscar-area-lights,halton,randomwalk,597240
sportscar-area-lights,halton,simplepath,568230
sportscar-area-lights,halton,simplevolpath,598780
sportscar-area-lights,halton,volpath,612220
sportscar-area-lights,independent,bdpt,799039
sportscar-area-lights,independent,lightpath,569869
sportscar-area-lights,independent,path,617000
sportscar-area-lights,independent,randomwalk,823189
sportscar-area-lights,independent,simplepath,545719
sportscar-area-lights,independent,simplevolpath,535330
sportscar-area-lights,independent,volpath,797300
sportscar-area-lights,paddedsobol,bdpt,631709
sportscar-area-lights,paddedsobol,lightpath,796930
sportscar-area-lights,paddedsobol,path,594009
sportscar-area-lights,paddedsobol,randomwalk,812329
sportscar-area-lights,paddedsobol,simplepath,577410
sportscar-area-lights,paddedsobol,simplevolpath,607010
sportscar-area-lights,paddedsobol,volpath,594440
sportscar-area-lights,sobol,bdpt,590469
sportscar-area-lights,sobol,lightpath,604180
sportscar-area-lights,sobol,path,592010
sportscar-area-lights,sobol,randomwalk,599590
sportscar-area-lights,sobol,simplepath,599810
sportscar-area-lights,sobol,simplevolpath,602210
sportscar-area-lights,sobol,volpath,609540
sportscar-area-lights,stratified,bdpt,617729
sportscar-area-lights,stratified,lightpath,733060
sportscar-area-lights,stratified,path,595550
sportscar-area-lights,stratified,randomwalk,860959
sportscar-area-lights,stratified,simplepath,828150
sportscar-area-lights,stratified,simplevolpath,618550
sportscar-area-lights,stratified,volpath,790660
sportscar-area-lights,zsobol,bdpt,608130
sportscar-area-lights,zsobol,lightpath,820580
sportscar-area-lights,zsobol,path,575970
sportscar-area-lights,zsobol,randomwalk,598599
sportscar-area-lights,zsobol,simplepath,552910
sportscar-area-lights,zsobol,simplevolpath,591049
sportscar-area-lights,zsobol,volpath,604560
sportscar-sky,halton,bdpt,632679
sportscar-sky,halton,lightpath,591709
sportscar-sky,halton,path,620839
sportscar-sky,halton,randomwalk,793299
sportscar-sky,halton,simplepath,610199
sportscar-sky,halton,simplevolpath,615890
sportscar-sky,halton,volpath,807499
sportscar-sky,independent,bdpt,661880
sportscar-sky,independent,lightpath,820450
sportscar-sky,independent,path,601050
sportscar-sky,independent,randomwalk,577620
sportscar-sky,independent,simplepath,808509
sportscar-sky,independent,simplevolpath,560529
sportscar-sky,independent,volpath,599070
sportscar-sky,paddedsobol,bdpt,607139
sportscar-sky,paddedsobol,lightpath,592779
sportscar-sky,paddedsobol,path,613470
sportscar-sky,paddedsobol,randomwalk,844449
sportscar-sky,paddedsobol,simplepath,599449
sportscar-sky,paddedsobol,simplevolpath,620940
sportscar-sky,paddedsobol,volpath,602960
sportscar-sky,sobol,bdpt,597130
sportscar-sky,sobol,lightpath,606180
sportscar-sky,sobol,path,640210
sportscar-sky,sobol,randomwalk,559940
sportscar-sky,sobol,simplepath,611470
sportscar-sky,sobol,simplevolpath,600970
sportscar-sky,sobol,volpath,705440
sportscar-sky,stratified,bdpt,818489
sportscar-sky,stratified,lightpath,629660
sportscar-sky,stratified,path,816060
sportscar-sky,stratified,randomwalk,649630
sportscar-sky,stratified,simplepath,832190
sportscar-sky,stratified,simplevolpath,604739
sportscar-sky,stratified,volpath,801389
sportscar-sky,zsobol,bdpt,567219
sportscar-sky,zsobol,lightpath,587150
sportscar-sky,zsobol,path,565379
sportscar-sky,zsobol,randomwalk,640959
sportscar-sky,zsobol,simplepath,805260
sportscar-sky,zsobol,simplevolpath,723780
sportscar-sky,zsobol,volpath,823410
bunny-cloud,halton,bdpt,610280
bunny-cloud,halton,lightpath,587399
bunny-cloud,halton,path,596210
bunny-cloud,halton,randomwalk,586100
bunny-cloud,halton,simplepath,629629
bunny-cloud,halton,simplevolpath,701670
bunny-cloud,halton,volpath,804239
bunny-cloud,independent,bdpt,801220
bunny-cloud,independent,lightpath,801180
bunny-cloud,independent,path,629050
bunny-cloud,independent,randomwalk,680249
bunny-cloud,independent,simplepath,600990
bunny-cloud,independent,simplevolpath,831020
bunny-cloud,independent,volpath,829830
bunny-cloud,paddedsobol,bdpt,601900
bunny-cloud,paddedsobol,lightpath,798460
bunny-cloud,paddedsobol,path,607250
bunny-cloud,paddedsobol,randomwalk,616240
bunny-cloud,paddedsobol,simplepath,596090
bunny-cloud,paddedsobol,simplevolpath,830980
bunny-cloud,paddedsobol,volpath,822180
bunny-cloud,sobol,bdpt,600860
bunny-cloud,sobol,lightpath,575620
bunny-cloud,sobol,path,821809
bunny-cloud,sobol,randomwalk,593880
bunny-cloud,sobol,simplepath,600130
bunny-cloud,sobol,simplevolpath,580000
bunny-cloud,sobol,volpath,640120
bunny-cloud,stratified,bdpt,842300
bunny-cloud,stratified,lightpath,809520
bunny-cloud,stratified,path,605010
bunny-cloud,stratified,randomwalk,604580
bunny-cloud,stratified,simplepath,614640
bunny-cloud,stratified,simplevolpath,588910
bunny-cloud,stratified,volpath,605000
bunny-cloud,zsobol,bdpt,570879
bunny-cloud,zsobol,lightpath,585930
bunny-cloud,zsobol,path,617020
bunny-cloud,zsobol,randomwalk,569430
bunny-cloud,zsobol,simplepath,629949
bunny-cloud,zsobol,simplevolpath,853179
bunny-cloud,zsobol,volpath,818058
disney-cloud,halton,bdpt,607820
disney-cloud,halton,lightpath,590949
disney-cloud,halton,path,607349
disney-cloud,halton,randomwalk,633220
disney-cloud,halton,simplepath,818199
disney-cloud,halton,simplevolpath,564059
disney-cloud,halton,volpath,589589
disney-cloud,independent,bdpt,823240
disney-cloud,independent,lightpath,783440
disney-cloud,independent,path,636560
disney-cloud,independent,randomwalk,822280
disney-cloud,independent,simplepath,734189
disney-cloud,independent,simplevolpath,586490
disney-cloud,independent,volpath,603480
disney-cloud,paddedsobol,bdpt,605890
disney-cloud,paddedsobol,lightpath,604289
disney-cloud,paddedsobol,path,648069
disney-cloud,paddedsobol,randomwalk,854289
disney-cloud,paddedsobol,simplepath,591930
disney-cloud,paddedsobol,simplevolpath,591819
disney-cloud,paddedsobol,volpath,832989
disney-cloud,sobol,bdpt,616290
disney-cloud,sobol,lightpath,636540
disney-cloud,sobol,path,827270
disney-cloud,sobol,randomwalk,613239
disney-cloud,sobol,simplepath,623540
disney-cloud,sobol,simplevolpath,608000
disney-cloud,sobol,volpath,583610
disney-cloud,stratified,bdpt,613380
disney-cloud,stratified,lightpath,835930
disney-cloud,stratified,path,598020
disney-cloud,stratified,randomwalk,585900
disney-cloud,stratified,simplepath,576109
disney-cloud,stratified,simplevolpath,599230
disney-cloud,stratified,volpath,620510
disney-cloud,zsobol,bdpt,811139
disney-cloud,zsobol,lightpath,604909
disney-cloud,zsobol,path,602539
disney-cloud,zsobol,randomwalk,573570
disney-cloud,zsobol,simplepath,615989
disney-cloud,zsobol,simplevolpath,620960
disney-cloud,zsobol,volpath,606278
clouds,halton,bdpt,632930
clouds,halton,lightpath,805320
clouds,halton,path,596990
clouds,halton,randomwalk,575219
clouds,halton,simplepath,614399
clouds,halton,simplevolpath,573720
clouds,halton,volpath,600350
clouds,independent,bdpt,798310
clouds,independent,lightpath,597699
clouds,independent,path,868860
clouds,independent,randomwalk,547439
clouds,independent,simplepath,579399
clouds,independent,simplevolpath,612450
clouds,independent,volpath,600609
clouds,paddedsobol,bdpt,582740
clouds,paddedsobol,lightpath,807790
clouds,paddedsobol,path,592100
clouds,paddedsobol,randomwalk,584490
clouds,paddedsobol,simplepath,580619
clouds,paddedsobol,simplevolpath,637650
clouds,paddedsobol,volpath,828129
clouds,sobol,bdpt,596330
clouds,sobol,lightpath,598189
clouds,sobol,path,594580
clouds,sobol,randomwalk,604369
clouds,sobol,simplepath,538550
clouds,sobol,simplevolpath,579489
clouds,sobol,volpath,604949
clouds,stratified,bdpt,838420
clouds,stratified,lightpath,801360
clouds,stratified,path,557930
clouds,stratified,randomwalk,586930
clouds,stratified,simplepath,840800
clouds,stratified,simplevolpath,794479
clouds,stratified,volpath,580190
clouds,zsobol,bdpt,592209
clouds,zsobol,lightpath,592050
clouds,zsobol,path,633979
clouds,zsobol,randomwalk,822830
clouds,zsobol,simplepath,609010
clouds,zsobol,simplevolpath,593060
clouds,zsobol,volpath,757879
bistro_vespa,halton,bdpt,667710
bistro_vespa,halton,lightpath,611369
bistro_vespa,halton,path,615979
bistro_vespa,halton,randomwalk,612109
bistro_vespa,halton,simplepath,584660
bistro_vespa,halton,simplevolpath,640340
bistro_vespa,halton,volpath,837830
bistro_vespa,independent,bdpt,833490
bistro_vespa,independent,lightpath,858830
bistro_vespa,independent,path,823499
bistro_vespa,independent,randomwalk,610250
bistro_vespa,independent,simplepath,629060
bistro_vespa,independent,simplevolpath,835270
bistro_vespa,independent,volpath,855308
bistro_vespa,paddedsobol,bdpt,805170
bistro_vespa,paddedsobol,lightpath,600799
bistro_vespa,paddedsobol,path,648139
bistro_vespa,paddedsobol,randomwalk,804769
bistro_vespa,paddedsobol,simplepath,600430
bistro_vespa,paddedsobol,simplevolpath,632699
bistro_vespa,paddedsobol,volpath,814880
bistro_vespa,sobol,bdpt,611320
bistro_vespa,sobol,lightpath,640340
bistro_vespa,sobol,path,824150
bistro_vespa,sobol,randomwalk,612009
bistro_vespa,sobol,simplepath,753429
bistro_vespa,sobol,simplevolpath,652570
bistro_vespa,sobol,volpath,813280
bistro_vespa,stratified,bdpt,606980
bistro_vespa,stratified,lightpath,812130
bistro_vespa,stratified,path,648409
bistro_vespa,stratified,randomwalk,810780
bistro_vespa,stratified,simplepath,617789
bistro_vespa,stratified,simplevolpath,598950
bistro_vespa,stratified,volpath,607820
bistro_vespa,zsobol,bdpt,619149
bistro_vespa,zsobol,lightpath,821100
bistro_vespa,zsobol,path,605390
bistro_vespa,zsobol,randomwalk,822009
bistro_vespa,zsobol,simplepath,602610
bistro_vespa,zsobol,simplevolpath,633770
bistro_vespa,zsobol,volpath,789930
bistro_cafe,halton,bdpt,590540
bistro_cafe,halton,lightpath,595550
bistro_cafe,halton,path,615219
bistro_cafe,halton,randomwalk,637469
bistro_cafe,halton,simplepath,883760
bistro_cafe,halton,simplevolpath,790790
bistro_cafe,halton,volpath,616060
bistro_cafe,independent,bdpt,865530
bistro_cafe,independent,lightpath,817360
bistro_cafe,independent,path,613479
bistro_cafe,independent,randomwalk,824820
bistro_cafe,independent,simplepath,618910
bistro_cafe,independent,simplevolpath,808270
bistro_cafe,independent,volpath,586789
bistro_cafe,paddedsobol,bdpt,611170
bistro_cafe,paddedsobol,lightpath,827670
bistro_cafe,paddedsobol,path,636259
bistro_cafe,paddedsobol,randomwalk,806569
bistro_cafe,paddedsobol,simplepath,593670
bistro_cafe,paddedsobol,simplevolpath,629520
bistro_cafe,paddedsobol,volpath,841120
bistro_cafe,sobol,bdpt,833390
bistro_cafe,sobol,lightpath,589210
bistro_cafe,sobol,path,833240
bistro_cafe,sobol,randomwalk,802580
bistro_cafe,sobol,simplepath,603489
bistro_cafe,sobol,simplevolpath,600910
bistro_cafe,sobol,volpath,663860
bistro_cafe,stratified,bdpt,601530
bistro_cafe,stratified,lightpath,825549
bistro_cafe,stratified,path,817270
bistro_cafe,stratified,randomwalk,615540
bistro_cafe,stratified,simplepath,800410
bistro_cafe,stratified,simplevolpath,826529
bistro_cafe,stratified,volpath,606289
bistro_cafe,zsobol,bdpt,704859
bistro_cafe,zsobol,lightpath,820960
bistro_cafe,zsobol,path,584060
bistro_cafe,zsobol,randomwalk,603670
bistro_cafe,zsobol,simplepath,583920
bistro_cafe,zsobol,simplevolpath,815899
bistro_cafe,zsobol,volpath,772640
bistro_boulangerie,halton,bdpt,584050
bistro_boulangerie,halton,lightpath,589190
bistro_boulangerie,halton,path,612810
bistro_boulangerie,halton,randomwalk,596130
bistro_boulangerie,halton,simplepath,613680
bistro_boulangerie,halton,simplevolpath,775849
bistro_boulangerie,halton,volpath,801089
bistro_boulangerie,independent,bdpt,615140
bistro_boulangerie,independent,lightpath,625150
bistro_boulangerie,independent,path,827729
bistro_boulangerie,independent,randomwalk,589109
bistro_boulangerie,independent,simplepath,625399
bistro_boulangerie,independent,simplevolpath,819510
bistro_boulangerie,independent,volpath,810949
bistro_boulangerie,paddedsobol,bdpt,584189
bistro_boulangerie,paddedsobol,lightpath,641259
bistro_boulangerie,paddedsobol,path,842960
bistro_boulangerie,paddedsobol,randomwalk,610968
bistro_boulangerie,paddedsobol,simplepath,607300
bistro_boulangerie,paddedsobol,simplevolpath,825459
bistro_boulangerie,paddedsobol,volpath,840900
bistro_boulangerie,sobol,bdpt,805249
bistro_boulangerie,sobol,lightpath,621350
bistro_boulangerie,sobol,path,675129
bistro_boulangerie,sobol,randomwalk,831578
bistro_boulangerie,sobol,simplepath,850469
bistro_boulangerie,sobol,simplevolpath,618519
bistro_boulangerie,sobol,volpath,836779
