Scene,Sampler,Integrator,non contributing rays
sportscar-sky,zsobol,randomwalk,0.6553018689155579
sportscar-sky,independent,simplepath,0.17566224932670593
sportscar-sky,independent,randomwalk,0.6552894115447998
sportscar-sky,independent,volpath,0.07231926172971725
sportscar-sky,zsobol,path,0.07241082191467285
sportscar-sky,sobol,volpath,0.0723036527633667
sportscar-sky,paddedsobol,volpath,0.07231645286083221
sportscar-sky,sobol,bdpt,0.042392387986183167
sportscar-sky,halton,bdpt,0.04239214211702347
sportscar-sky,stratified,simplepath,0.17567874491214752
sportscar-sky,sobol,path,0.07243392616510391
sportscar-sky,zsobol,bdpt,0.04240119829773903
sportscar-sky,stratified,randomwalk,0.6553176045417786
sportscar-sky,independent,path,0.07244458049535751
sportscar-sky,paddedsobol,bdpt,0.04240351915359497
sportscar-sky,paddedsobol,path,0.07245299965143204
sportscar-sky,stratified,volpath,0.07229645550251007
sportscar-sky,halton,simplepath,0.17566601932048798
sportscar-sky,zsobol,simplepath,0.17565222084522247
sportscar-sky,independent,bdpt,0.042386505752801895
sportscar-sky,halton,randomwalk,0.6553281545639038
sportscar-sky,stratified,path,0.07242684811353683
sportscar-sky,sobol,randomwalk,0.6552935838699341
sportscar-sky,paddedsobol,randomwalk,0.6552974581718445
sportscar-sky,stratified,bdpt,0.0424213781952858
sportscar-sky,halton,path,0.07242320477962494
sportscar-sky,sobol,simplepath,0.1756819188594818
sportscar-sky,halton,volpath,0.07229392975568771
sportscar-sky,zsobol,volpath,0.07227549701929092
sportscar-sky,paddedsobol,simplepath,0.17567585408687592
crown,paddedsobol,simplepath,0.16108879446983337
crown,zsobol,randomwalk,0.9786060452461243
crown,independent,randomwalk,0.978633463382721
crown,zsobol,path,0.1440783441066742
crown,zsobol,volpath,0.14670100808143616
crown,independent,path,0.14403027296066284
crown,halton,bdpt,0.09420809149742126
crown,halton,randomwalk,0.9786070585250854
crown,stratified,simplepath,0.16109541058540344
crown,sobol,bdpt,0.09415651857852936
crown,halton,path,0.14402571320533752
crown,sobol,path,0.14406290650367737
crown,zsobol,simplepath,0.16105200350284576
crown,stratified,path,0.14407336711883545
crown,sobol,randomwalk,0.9786144495010376
crown,halton,simplepath,0.16110828518867493
crown,paddedsobol,randomwalk,0.978584885597229
crown,zsobol,bdpt,0.09415868669748306
crown,independent,volpath,0.14666756987571716
crown,stratified,randomwalk,0.9785817861557007
crown,stratified,volpath,0.14671804010868073
crown,stratified,bdpt,0.09417842328548431
crown,paddedsobol,bdpt,0.09416846930980682
crown,halton,volpath,0.14670425653457642
crown,paddedsobol,volpath,0.1467326283454895
crown,paddedsobol,path,0.14405569434165955
crown,independent,simplepath,0.16107632219791412
crown,independent,bdpt,0.09415967762470245
crown,sobol,volpath,0.14671339094638824
crown,sobol,simplepath,0.16112099587917328
sanmiguel-realistic-courtyard,stratified,volpath,0.5519996881484985
sanmiguel-realistic-courtyard,halton,volpath,0.5519514083862305
sanmiguel-realistic-courtyard,sobol,randomwalk,0.6777676343917847
